Label,Reason
images/41179.png	சுக்கிாீவனிடம்,Repeated/multiple vowel signs
images/41182.png	சுக்கிாீவன்,Repeated/multiple vowel signs
images/41489.png	உண்டாயிருக்கிறது்,Virama and vowel sign on the same base character
"images/41540.png	அ""்சினோர்க்கு",Combining mark applied to punctuation/symbol
images/42231.png	பளைறைைந்தால்போல்,Duplicated combining marks
images/42684.png	கல்லாதவக்ை,Virama and vowel sign on the same base character
images/44779.png	்எனக்கு,Isolated combining mark (no base character)
"images/45178.png	வந்தவுடனே்,",Virama and vowel sign on the same base character
images/54776.png	த்ிருவிழாவில,Virama and vowel sign on the same base character
images/55235.png	அவர்களி்ல்,Virama and vowel sign on the same base character
images/55255.png	செயற்்படுத்தி,Repeated viramas
images/55283.png	விி.,Duplicated combining marks
images/55765.png	இருக்றிார்கள்.,Repeated/multiple vowel signs
images/57987.png	நினைப்ா?“,Virama and vowel sign on the same base character
images/58021.png	வியக்கும்படிாக,Repeated/multiple vowel signs
images/60181.png	எப்ாதோ,Virama and vowel sign on the same base character
images/60644.png	வருந்தினாா.,Duplicated combining marks
images/60665.png	கூாண,Repeated/multiple vowel signs
images/60690.png	அத்டிைத,Repeated/multiple vowel signs
"images/61177.png	வைத்திருந்த்ால்,",Virama and vowel sign on the same base character
images/66911.png	ஆறுு,Duplicated combining marks
images/66912.png	தொூூூுதிகளூம்,Extremely long grapheme cluster (6 codepoints)
images/66913.png	சோ்ந்து,Virama and vowel sign on the same base character
"images/71830.png	அழயுைம்,",Repeated/multiple vowel signs
images/72783.png	இருபத்திாலாவது,Repeated/multiple vowel signs
images/74005.png	பாாத்துவிட்டுக்,Duplicated combining marks
"images/76255.png	விற்றதற்க்ாகவும்,",Virama and vowel sign on the same base character
images/76499.png	மறவெல்ாம்,Virama and vowel sign on the same base character
images/79785.png	மயிப்ை,Virama and vowel sign on the same base character
images/79949.png	போங்காை,Repeated/multiple vowel signs
images/79992.png	கேள்விப்படுவாானால்,Duplicated combining marks
